Variables=time,rho,x,y,u,v,fx,fy,omega,torque
0	  1.000000	200.000000	  0.250000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000	  0.000000
200	  1.000000	200.022208	  0.249994	  0.008560	 -0.000176	  0.001675	 -0.000034	  0.000046	  0.007212
400	  1.000000	200.233848	  0.249936	  0.034533	 -0.000821	  0.002186	 -0.000060	  0.000132	  0.005765
600	  1.000000	200.714947	  0.249834	  0.061247	 -0.000591	  0.002009	  0.000140	  0.000189	  0.004161
800	  1.000000	201.454479	  0.249760	  0.085878	 -0.000729	  0.001819	  0.000193	  0.000226	  0.001911
1000	  1.000000	202.423420	  0.249707	  0.107205	 -0.000490	  0.001342	  0.000097	  0.000248	 -0.000527
1200	  1.000000	203.591946	  0.249687	  0.125932	 -0.000067	  0.001451	  0.000109	  0.000259	  0.001073
1400	  1.000000	204.934793	  0.249723	  0.142207	  0.000747	  0.001122	  0.000242	  0.000268	  0.000242
1600	  1.000000	206.429587	  0.249804	  0.156289	  0.000628	  0.000949	  0.000075	  0.000271	 -0.001097
1800	  1.000000	208.057247	  0.249936	  0.168841	  0.001367	  0.000932	  0.000117	  0.000275	  0.000652
2000	  1.000000	209.795744	  0.250114	  0.178664	  0.001794	  0.000763	  0.000132	  0.000271	  0.000686
2200	  1.000000	211.627734	  0.250334	  0.187494	  0.001858	  0.000548	  0.000312	  0.000272	  0.000646
2400	  1.000000	213.545649	  0.250600	  0.195840	  0.002168	  0.000696	 -0.000193	  0.000272	  0.001941
2600	  1.000000	215.542958	  0.250902	  0.203359	  0.002397	  0.000634	 -0.000112	  0.000274	  0.002065
2800	  1.000000	217.611422	  0.251241	  0.210070	  0.002755	  0.000268	  0.000296	  0.000275	  0.003042
3000	  1.000000	219.742670	  0.251615	  0.215968	  0.003118	  0.000455	  0.000465	  0.000276	 -0.000046
3200	  1.000000	221.928909	  0.252021	  0.221126	  0.003671	  0.000194	 -0.000022	  0.000278	 -0.003614
3400	  1.000000	224.162994	  0.252457	  0.225567	  0.003474	  0.000292	 -0.000122	  0.000278	 -0.000507
3600	  1.000000	226.438687	  0.252918	  0.229447	  0.003801	  0.000286	 -0.000066	  0.000278	 -0.000487
3800	  1.000000	228.750548	  0.253404	  0.232824	  0.003980	  0.000513	 -0.000042	  0.000279	  0.000425
4000	  1.000000	231.093322	  0.253913	  0.235591	  0.004052	  0.000084	  0.000066	  0.000280	  0.001620
4200	  1.000000	233.461025	  0.254440	  0.237844	  0.004272	  0.000199	 -0.000327	  0.000279	  0.002461
4400	  1.000000	235.850511	  0.254985	  0.240006	  0.004478	  0.000203	  0.000386	  0.000279	 -0.000065
4600	  1.000000	238.260201	  0.255548	  0.241989	  0.004499	  0.000205	  0.000357	  0.000281	 -0.000227
4800	  1.000000	240.687925	  0.256124	  0.243562	  0.004606	  0.000285	 -0.000002	  0.000279	 -0.001754
5000	  1.000000	243.131302	  0.256714	  0.245017	  0.004641	  0.000067	 -0.000505	  0.000282	 -0.006105
5200	  1.000000	245.587901	  0.257314	  0.246248	  0.004819	  0.000153	  0.000263	  0.000280	  0.000102
5400	  1.000000	248.055435	  0.257926	  0.247253	  0.004889	 -0.000005	 -0.000360	  0.000282	 -0.001032
5600	  1.000000	250.531853	  0.258546	  0.247990	  0.004961	 -0.000035	  0.000495	  0.000282	  0.000590
5800	  1.000000	253.015277	  0.259176	  0.248640	  0.005212	  0.000146	 -0.000099	  0.000281	  0.003716
6000	  1.000000	255.503660	  0.259812	  0.249014	  0.005090	  0.000181	 -0.000159	  0.000280	  0.000590
6200	  1.000000	257.994691	  0.260457	  0.249186	  0.005276	  0.000155	  0.000003	  0.000280	  0.002533
6400	  1.000000	260.487324	  0.261107	  0.249336	  0.005179	  0.000060	  0.000067	  0.000279	 -0.000449
6600	  1.000000	262.981134	  0.261764	  0.249440	  0.005405	 -0.000039	 -0.000243	  0.000280	  0.003291
6800	  1.000000	265.474689	  0.262424	  0.249130	  0.005256	 -0.000349	 -0.000149	  0.000275	 -0.006128
7000	  1.000000	267.958774	  0.263089	  0.247911	  0.005488	 -0.000219	  0.000157	  0.000277	  0.003047
7200	  1.000000	270.435335	  0.263752	  0.247438	  0.005280	  0.000248	  0.000023	  0.000277	 -0.003025
7400	  1.000000	272.908128	  0.264414	  0.247125	  0.005472	  0.000061	  0.000203	  0.000279	  0.000380
7600	  1.000000	275.378039	  0.265078	  0.246859	  0.005311	 -0.000047	  0.000182	  0.000280	  0.000576
7800	  1.000000	277.844996	  0.265742	  0.246522	  0.005394	  0.000068	  0.000275	  0.000281	  0.000608
8000	  1.000000	280.308427	  0.266410	  0.246096	  0.005290	  0.000004	 -0.000003	  0.000280	  0.001281
8200	  1.000000	282.767929	  0.267079	  0.245744	  0.005317	  0.000100	  0.000104	  0.000281	 -0.000748
8400	  1.000000	285.223435	  0.267751	  0.245411	  0.005299	  0.000049	  0.000194	  0.000282	  0.000035
8600	  1.000000	287.675200	  0.268425	  0.244957	  0.005374	  0.000073	 -0.000216	  0.000281	 -0.003364
8800	  1.000000	290.123504	  0.269103	  0.244644	  0.005322	  0.000237	 -0.000137	  0.000284	 -0.002071
9000	  1.000000	292.568250	  0.269781	  0.244299	  0.005378	 -0.000023	  0.000161	  0.000282	 -0.000012
9200	  1.000000	295.009063	  0.270464	  0.243902	  0.005654	  0.000040	 -0.000148	  0.000284	  0.006531
9400	  1.000000	297.445814	  0.271147	  0.243459	  0.005374	 -0.000035	 -0.000064	  0.000282	  0.000351
